Country,GNP per Capita,Percent Urban,Percent Adult Literacy,Higher Ed per 100000,Inhabitants per Physician,Radios per 1000
# Source:  World handbook of political and social indicators / by Bruce M. Russett ... [et al.] 1964,,,,,,
Nepal,45,4.4,5,56,72000,
Afghanistan,50,7.5,2.5,12,41000,1.7
Laos,50,4,17.5,4,100000,8
Togo,50,4.5,7.5,,58000,4.3
Ethiopia,55,1.7,2.5,5,117000,4.5
Burma,57,10,47.5,63,15000,5.6
Angola,60,4.7,2.5,,14000,11.4
Libya,60,18.4,13,49,5800,63.1
Sudan,60,5,9,34,40000,0.9
Tanganyika,61,3.3,7.5,9,18000,3.6
Uganda,64,0.1,27.5,14,15000,13.8
Mozambique,70,13.9,1,,20000,5.7
Pakistan,70,11.8,13,165,8670,3
China (Mainland),73,10,47.5,69,8700,
India,73,12,19.3,220,5200,5
South Vietnam,76,,17.5,83,29000,8.9
Nigeria,78,10.5,10,4,32000,4
Kenya,87,3.8,22.5,5,10000,8
Madagascar,88,7.6,33.5,21,8427,22.4
Congo (Leopoldville),92,9.1,37.5,4,63000,2.5
Thailand,96,7.7,68,251,7500,6.2
Bolivia,99,19.4,32.1,166,3900,72.7
Cambodia,99,16,17.5,18,95000,6.5
Liberia,100,0,7.5,,16000,77.5
Sarawak,100,7,21,,15000,55.3
Haiti,105,5.1,10.5,29,10000,4.9
Iran,108,21,15,90,3800,65.3
Paraguay,114,15.2,65.8,188,1800,60.8
Ceylon,129,11.4,63,56,4500,38.4
Jordan,129,25.5,17.5,,5800,37.7
Indonesia,131,9.1,17.5,62,48000,7.4
Rhodesia & Nyasaland,135,9.2,16.1,3,7400,17.6
Egypt,142,29.1,19.9,399,2600,65.8
Morocco,142,24.2,12.5,40,9400,45.5
Surinam,142,72.4,72.5,109,2000,129.9
South Korea,144,18.5,77,397,3700,
Iraq,156,23.6,10,173,5600,21.2
Nicaragua,160,201,38.4,110,2800,65.5
Taiwan,161,24,54,329,1500,69.5
Saudi Arabia,170,9.5,2.5,6,13000,12.1
Ghana,172,6.4,22.5,29,21000,22.2
Syria,173,38.8,27.5,223,4600,57.3
Tunisia,173,19.9,17.5,64,8200,63.5
Albania,175,,60,145,3500,33.6
Algeria,178,14.1,19,70,6096,54.1
Peru,179,13.9,47.5,253,2100,77.9
Ecuador,189,17.8,55.7,193,2600,40.6
Guatemala,189,11.2,29.4,135,6400,54.3
Honduras,194,11.5,44,78,4800,66.1
Barbados,200,54.7,91.1,24,3000,161
El Salvador,219,12.9,39.4,89,5400,92
Philippines,220,12.7,75,976,5555,22.3
Turkey,220,18.2,39,255,2800,52.5
Portugal,224,16.5,55.9,272,1394,98.1
Mauritius,225,27.4,51.8,14,4500,
British Guiana,235,17.9,74,27,3900,72.2
Dominican Republic,239,12.2,59.9,149,,33.8
Mexico,262,24,50,258,1700,96.9
Colombia,263,22.4,62,296,2400,139.5
Yugoslavia,265,18.6,77,524,1637,98.6
Hong Kong,272,81.9,57.5,176,3300,55.3
Brazil,293,28.1,49.4,132,2100,64.3
Spain,293,39.8,87,258,1000,90
Japan,306,43.1,98,750,930,106.7
Jamaica,316,,77,42,4300,87.9
Panama,329,33.1,65.7,371,3200,159
Greece,340,38.4,80,320,800,89.9
Malaya,356,22.7,38.4,475,6400,36.5
Costa Rica,357,15.4,79.4,326,2600,66.1
Romania,360,18,89,226,788,117
Lebanon,362,23,47.5,345,1100,60.8
Bulgaria,365,15.3,85,456,740,202
Malta,377,7.3,57.6,142,980,222
Chile,379,46.3,80.1,257,1700,130.2
South Africa,395,32.9,42.5,189,2000,66.2
Singapore,400,,50,437,2400,88.3
Trinidad & Tobago,423,75.1,73.8,61,2300,84.1
Cyprus,467,13.6,60.5,78,1400,178
Poland,475,31.9,95,351,1100,183
Uruguay,478,,80.9,541,870,286
Argentina,490,483,86.4,827,660,175
Hungary,490,37,97,258,650,231
Italy,516,30.3,87.5,362,746,170
Ireland,550,35.6,98.5,362,1000,176
Puerto Rico,563,32,81,1.192,2200,
Iceland,572,40.5,98.5,445,840,279
East Germany,600,36.2,98.5,395,,348
U.S.S.R.,600,35.5,95,539,578,205
Venezuela,648,47.2,52.2,355,1300,186
Austria,670,39.8,98.5,546,695,288
Czechoslovakia,680,25.3,97.5,398,620,263
Israel,726,60.9,93.7,668,400,194
Finland,794,31.2,98.5,529,1600,289
Netherlands,836,49.8,98.5,923,900,263
West Germany,927,55.1,98.5,528,798,319
France,943,29.8,96.4,667,1014,282
Denmark,1057,48.5,98.5,570,830,365
Norway,1130,32.8,98.5,258,946,286
United Kingdom,1189,66.9,98.5,460,935,289
Belgium,1196,32,96.7,536,819,298
New Zealand,1310,69.7,98.5,839,700,242
Australia,1316,57.3,98.5,856,860,215
Sweden,1380,40.8,98.5,401,1089,378
Luxembourg,1388,30.6,96.5,36,910,319
Switzerland,1428,29.9,98.5,398,765,272
Canada,1947,39.4,97.5,645,900,451
United States,2577,52,98,1983,780,948
